target,feature,importance
total_queries_count,ts_submit,0.001202055
total_queries_count,hour,0.008323723
total_queries_count,day_of_week,0.001468967
total_queries_count,day_of_month,0.0008723229
total_queries_count,hour_sin,0.00015458596
total_queries_count,hour_cos,0.002008172
total_queries_count,dow_sin,5.3206542e-05
total_queries_count,dow_cos,0.0016707174
total_queries_count,total_queries_count_lag_1,0.009654155
total_queries_count,total_queries_count_lag_2,0.0055981777
total_queries_count,total_queries_count_lag_3,0.0023419177
total_queries_count,total_queries_count_lag_5,0.0015961725
total_queries_count,total_queries_count_lag_10,0.0018914822
total_queries_count,aggregation_queries_count_lag_1,0.00034171424
total_queries_count,aggregation_queries_count_lag_2,0.0020537733
total_queries_count,aggregation_queries_count_lag_3,0.00038967785
total_queries_count,aggregation_queries_count_lag_5,0.0022083751
total_queries_count,aggregation_queries_count_lag_10,2.824238e-05
total_queries_count,standard_queries_count_lag_1,0.013561863
total_queries_count,standard_queries_count_lag_2,0.0075648054
total_queries_count,standard_queries_count_lag_3,0.0003074193
total_queries_count,standard_queries_count_lag_5,8.765e-05
total_queries_count,standard_queries_count_lag_10,9.222948e-06
total_queries_count,first_name_queries_count_lag_1,0.0026594424
total_queries_count,first_name_queries_count_lag_2,0.0007231516
total_queries_count,first_name_queries_count_lag_3,4.5249057e-05
total_queries_count,first_name_queries_count_lag_5,0.0023476048
total_queries_count,first_name_queries_count_lag_10,8.152153e-05
total_queries_count,last_name_queries_count_lag_1,0.0015876392
total_queries_count,last_name_queries_count_lag_2,0.0046736742
total_queries_count,last_name_queries_count_lag_3,3.0374082e-05
total_queries_count,last_name_queries_count_lag_5,0.00022830257
total_queries_count,last_name_queries_count_lag_10,3.303402e-05
total_queries_count,country_queries_count_lag_1,0.0064443066
total_queries_count,country_queries_count_lag_2,0.009917386
total_queries_count,country_queries_count_lag_3,6.110437e-05
total_queries_count,country_queries_count_lag_5,1.9748175e-06
total_queries_count,country_queries_count_lag_10,3.3180577e-06
total_queries_count,other_queries_count_lag_1,0.0018588444
total_queries_count,other_queries_count_lag_2,0.0028478215
total_queries_count,other_queries_count_lag_3,0.00013812224
total_queries_count,other_queries_count_lag_5,2.1134834e-05
total_queries_count,other_queries_count_lag_10,4.9230504e-05
total_queries_count,total_queries_count_rolling_mean_3,0.12766829
total_queries_count,total_queries_count_rolling_std_3,0.008816873
total_queries_count,total_queries_count_rolling_min_3,0.009776671
total_queries_count,total_queries_count_rolling_max_3,0.060064584
total_queries_count,total_queries_count_rolling_mean_5,0.004383171
total_queries_count,total_queries_count_rolling_std_5,0.009033201
total_queries_count,total_queries_count_rolling_min_5,0.000463895
total_queries_count,total_queries_count_rolling_max_5,0.012233378
total_queries_count,total_queries_count_rolling_mean_10,0.017221384
total_queries_count,total_queries_count_rolling_std_10,0.00029502143
total_queries_count,total_queries_count_rolling_min_10,3.7332236e-05
total_queries_count,total_queries_count_rolling_max_10,0.0027035673
total_queries_count,total_queries_count_rolling_mean_20,0.00052137394
total_queries_count,total_queries_count_rolling_std_20,0.004378726
total_queries_count,total_queries_count_rolling_min_20,0.000344674
total_queries_count,total_queries_count_rolling_max_20,0.00032235167
total_queries_count,aggregation_queries_count_rolling_mean_3,0.026995184
total_queries_count,aggregation_queries_count_rolling_std_3,0.0003496903
total_queries_count,aggregation_queries_count_rolling_min_3,0.002207997
total_queries_count,aggregation_queries_count_rolling_max_3,0.0012628029
total_queries_count,aggregation_queries_count_rolling_mean_5,0.0015147482
total_queries_count,aggregation_queries_count_rolling_std_5,0.00012441291
total_queries_count,aggregation_queries_count_rolling_min_5,0.0010848917
total_queries_count,aggregation_queries_count_rolling_max_5,0.0020912255
total_queries_count,aggregation_queries_count_rolling_mean_10,2.4135417e-05
total_queries_count,aggregation_queries_count_rolling_std_10,0.00010768424
total_queries_count,aggregation_queries_count_rolling_min_10,5.9318478e-05
total_queries_count,aggregation_queries_count_rolling_max_10,1.444316e-05
total_queries_count,aggregation_queries_count_rolling_mean_20,0.0002945077
total_queries_count,aggregation_queries_count_rolling_std_20,0.0026433878
total_queries_count,aggregation_queries_count_rolling_min_20,1.38379755e-05
total_queries_count,aggregation_queries_count_rolling_max_20,7.0169385e-06
total_queries_count,aggregation_queries_count_ratio_lag1,3.0449324e-05
total_queries_count,standard_queries_count_ratio_lag1,1.1679879e-05
total_queries_count,first_name_queries_count_ratio_lag1,0.00068245817
total_queries_count,last_name_queries_count_ratio_lag1,9.650547e-05
total_queries_count,country_queries_count_ratio_lag1,0.00019602862
total_queries_count,other_queries_count_ratio_lag1,6.710081e-05
total_queries_count,total_queries_count_aggregation_queries_count_rolling_corr_10,0.0010314371
total_queries_count,total_queries_count_standard_queries_count_rolling_corr_10,0.00018767401
total_queries_count,total_queries_count_first_name_queries_count_rolling_corr_10,3.8950133e-05
total_queries_count,total_queries_count_last_name_queries_count_rolling_corr_10,1.8435674e-05
total_queries_count,total_queries_count_country_queries_count_rolling_corr_10,1.3860373e-05
total_queries_count,total_queries_count_other_queries_count_rolling_corr_10,9.482743e-05
total_queries_count,aggregation_queries_count_standard_queries_count_rolling_corr_10,3.7813488e-06
total_queries_count,aggregation_queries_count_first_name_queries_count_rolling_corr_10,6.282481e-05
total_queries_count,aggregation_queries_count_last_name_queries_count_rolling_corr_10,1.8516297e-05
total_queries_count,aggregation_queries_count_country_queries_count_rolling_corr_10,1.0033455e-05
total_queries_count,aggregation_queries_count_other_queries_count_rolling_corr_10,2.5971094e-05
total_queries_count,standard_queries_count_first_name_queries_count_rolling_corr_10,3.3497163e-05
total_queries_count,standard_queries_count_last_name_queries_count_rolling_corr_10,5.5318133e-06
total_queries_count,standard_queries_count_country_queries_count_rolling_corr_10,0.00016110552
total_queries_count,standard_queries_count_other_queries_count_rolling_corr_10,1.8522402e-05
